timestamp,symbol,step,detail,extra
2025-07-29 15:09:41,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:41,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.894; Entropia: 0.947; Spin: 0.200; Buffer tick: 200
2025-07-29 15:09:42,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 0.991; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:42,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.447; Entropia: 0.958; Spin: 0.100; Buffer tick: 200
2025-07-29 15:09:42,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 0.991; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:42,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.447; Entropia: 0.964; Spin: 0.100; Buffer tick: 200
2025-07-29 15:09:43,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 0.991; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:43,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.447; Entropia: 0.959; Spin: 0.100; Buffer tick: 200
2025-07-29 15:09:43,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 0.991; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:43,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.894; Entropia: 0.971; Spin: 0.200; Buffer tick: 200
2025-07-29 15:09:44,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 0.991; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:44,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.894; Entropia: 0.971; Spin: 0.200; Buffer tick: 200
2025-07-29 15:09:44,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 0.991; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:44,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.447; Entropia: 0.975; Spin: 0.100; Buffer tick: 200
2025-07-29 15:09:45,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 0.991; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:45,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.447; Entropia: 0.975; Spin: 0.100; Buffer tick: 200
2025-07-29 15:09:45,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 0.991; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:45,USDJPY,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 1.000; Entropia: 0.857; Entropia alta (>= 0.275); Spin: 0.538; Buffer tick: 200
2025-07-29 15:09:45,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.447; Entropia: 0.975; Spin: 0.100; Buffer tick: 200
2025-07-29 15:09:46,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 0.991; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:46,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.447; Entropia: 0.965; Spin: 0.100; Buffer tick: 200
2025-07-29 15:09:46,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 0.991; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:46,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.894; Entropia: 0.961; Spin: 0.200; Buffer tick: 200
2025-07-29 15:09:47,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:47,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.894; Entropia: 0.961; Spin: 0.200; Buffer tick: 200
2025-07-29 15:09:48,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:48,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.894; Entropia: 0.961; Spin: 0.200; Buffer tick: 200
2025-07-29 15:09:48,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:48,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 1.000; Entropia: 0.969; Spin: 0.300; Buffer tick: 200
2025-07-29 15:09:49,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:49,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.894; Entropia: 0.973; Spin: 0.200; Buffer tick: 200
2025-07-29 15:09:49,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:49,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 1.000; Entropia: 0.972; Spin: 0.263; Buffer tick: 200
2025-07-29 15:09:50,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:50,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 1.000; Entropia: 0.975; Spin: 0.263; Buffer tick: 200
2025-07-29 15:09:50,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:50,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 1.000; Entropia: 0.973; Spin: 0.333; Buffer tick: 200
2025-07-29 15:09:51,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 0.996; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:51,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 1.000; Entropia: 0.970; Spin: 0.333; Buffer tick: 200
2025-07-29 15:09:51,EURUSD,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 1.000; Entropia: 0.808; Entropia bassa (<= 0.825); Entropia alta (>= 0.275); Spin: -0.500; Buffer tick: 200
2025-07-29 15:09:51,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 0.996; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:51,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 1.000; Entropia: 0.986; Spin: 0.333; Buffer tick: 200
2025-07-29 15:09:52,EURUSD,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.816; Entropia: 0.778; Entropia bassa (<= 0.825); Entropia alta (>= 0.275); Spin: -0.333; Buffer tick: 200
2025-07-29 15:09:52,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 0.996; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:52,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.943; Entropia: 0.990; Spin: 0.222; Buffer tick: 200
2025-07-29 15:09:52,EURUSD,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.707; Confidence troppo bassa; Entropia: 0.783; Entropia bassa (<= 0.825); Entropia alta (>= 0.275); Spin: -0.250; Buffer tick: 200
2025-07-29 15:09:52,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 0.996; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:52,USDJPY,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 1.000; Entropia: 0.913; Entropia alta (>= 0.275); Spin: 0.385; Buffer tick: 200
2025-07-29 15:09:52,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 1.000; Entropia: 0.990; Spin: 0.333; Buffer tick: 200
2025-07-29 15:09:53,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 0.996; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:09:53,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 1.000; Entropia: 0.988; Spin: 0.333; Buffer tick: 200
